term,estimate,std.error,statistic,p.value,model,Coef_CI,PR,lci,uci
(Intercept),-1.5331349979717261,0.003807989245117689,-402.61011764605007,0,M0,"0.22 	(0.21, 0.22)",0.21585789140632644,0.2142527991114251,0.2174750083808858
I(o_htn >= 1)TRUE,0.3353316955786863,0.005898694061140024,56.84846376214292,0,M0,"1.4 	(1.38, 1.41)",1.3984041527780842,1.3823296876036104,1.4146655403871713
(Intercept),-3.323768105280609,0.014084129265825427,-235.99386533220755,0,M1,"0.04 	(0.04, 0.04)",0.03601686041584748,0.035036216384394,0.037024952123324954
I(o_htn >= 1)TRUE,0.3281027264062481,0.005850855894350426,56.077731588478095,0,M1,"1.39 	(1.37, 1.4)",1.3883315832785608,1.3725015844859725,1.4043441602660347
sexMale,0.04703424307712001,0.0047552914943726305,9.890927429534006,4.582691222446655e-23,M1,"1.05 	(1.04, 1.06)",1.0481579006169586,1.038434065042776,1.0579727896161555
age,0.028854597610991725,1.260860722259099e-4,228.84841363995068,0,M1,"1.03 	(1.03, 1.03)",1.0292749245612354,1.0290205926132339,1.0295293193697281
educationNo education,0.12377817157727466,0.008648825970450283,14.311557661141194,1.8973496097171073e-46,M1,"1.13 	(1.11, 1.15)",1.1317647855539852,1.112741146730679,1.1511136562024493
educationPrimary,0.15357558296560123,0.008825972911587179,17.400414039791524,8.622312277674566e-68,M1,"1.17 	(1.15, 1.19)",1.1659959132206545,1.1459989202007372,1.1863418417611817
educationSecondary,0.11475799991220755,0.007466231063134371,15.370271686184784,2.673213726675523e-53,M1,"1.12 	(1.11, 1.14)",1.121601976949626,1.1053081744904651,1.1381359730531524
smokecurr,-0.028429754497817584,0.005275868689394782,-5.38863951541578,7.10286258990225e-8,M1,"0.97 	(0.96, 0.98)",0.9719705683088095,0.9619714975045277,0.982073572979332
alcohol,0.16859405524168822,0.006484495211888191,25.999565075258353,6.4620463544545205e-149,M1,"1.18 	(1.17, 1.2)",1.1836395491134188,1.1686911467446763,1.198779152325943
swealthq_ur,0.03704285168161124,0.0015501420368046234,23.896424199919974,4.002317131032296e-126,M1,"1.04 	(1.03, 1.04)",1.0377374886818505,1.0345893381938291,1.0408952186727036
nmembers,-0.026062665148081306,9.757752168428138e-4,-26.70970188442458,4.822544086407711e-157,M1,"0.97 	(0.97, 0.98)",0.9742740346691066,0.9724124973330918,0.9761391356381094
residenceUrban,0.11454520361422348,0.004768439943535183,24.02152590167739,1.995268372834956e-127,M1,"1.12 	(1.11, 1.13)",1.121363329593657,1.1109317318890195,1.1318928795194325
factor(state)2,-0.013939825025216698,0.016668309622895502,-0.83630706055934,0.40298262696943454,M1,"0.99 	(0.95, 1.02)",0.9861568844431008,0.9544598392363263,1.0189065697228659
factor(state)3,0.3757411094646984,0.011756319392341522,31.960777597576104,6.84216863008888e-224,M1,"1.46 	(1.42, 1.49)",1.4560701221974555,1.4229023917349846,1.4900109895598437
factor(state)4,0.20642555955714997,0.042326855347848705,4.87694060569141,1.0778059437989015e-6,M1,"1.23 	(1.13, 1.34)",1.229276222944614,1.1314103174515975,1.3356074352412142
factor(state)5,0.20168125191954112,0.01617008796019208,12.472489476621586,1.0692678900344716e-35,M1,"1.22 	(1.19, 1.26)",1.2234579710730802,1.1852904849407984,1.2628544867269569
factor(state)6,0.1452412966862465,0.012306091321432216,11.802390612305558,3.8355546846807243e-32,M1,"1.16 	(1.13, 1.18)",1.1563185524428807,1.1287618879979826,1.18454796263106
factor(state)7,0.22596645537393262,0.014853238260124677,15.213278843076735,2.975231131554856e-52,M1,"1.25 	(1.22, 1.29)",1.2535336152565282,1.2175663950188662,1.2905633163058459
factor(state)8,-0.056613529069742465,0.011966818573568086,-4.730875522320407,2.236213836872328e-6,M1,"0.94 	(0.92, 0.97)",0.9449591980664968,0.923053121106509,0.9673851543235737
factor(state)9,0.11487632467815037,0.01040550183833266,11.039960057953124,2.4721021438785167e-28,M1,"1.12 	(1.1, 1.14)",1.1217346980929739,1.0990888749466508,1.144847119817141
factor(state)10,0.012739400107152913,0.012540002386064899,1.0159009316704433,0.30967711232716416,M1,"1.01 	(0.99, 1.04)",1.012820891949406,0.9882308006985375,1.0380228570533243
factor(state)11,0.4173092443220276,0.026187712184350984,15.935307421447815,3.7369356160721423e-57,M1,"1.52 	(1.44, 1.6)",1.5178718336100772,1.4419283193530452,1.5978151426421334
factor(state)12,0.2957443199532442,0.013142251952237815,22.503321426803563,4.443970015023462e-112,M1,"1.34 	(1.31, 1.38)",1.344126446581291,1.309945464412271,1.3791993281261092
factor(state)13,0.12310904552142465,0.01663294713223498,7.4015172742800885,1.3487036308430992e-13,M1,"1.13 	(1.09, 1.17)",1.1310077455527183,1.0947307790330727,1.1684868508311095
factor(state)14,0.16733827243305047,0.016591425616367873,10.085828445505424,6.4200295240898896e-24,M1,"1.18 	(1.14, 1.22)",1.1821540878196095,1.1443297314554555,1.2212286799287901
factor(state)15,-0.005606186822466671,0.022707551448225588,-0.24688645251995012,0.8049962139953142,M1,"0.99 	(0.95, 1.04)",0.9944094985175399,0.9511219533845453,1.0396671501725985
factor(state)16,-0.07093311302221758,0.019518068546019757,-3.6342280925477484,2.7884519699907e-4,M1,"0.93 	(0.9, 0.97)",0.9315241968821412,0.8965613752039092,0.9678504488101157
factor(state)17,-0.001108696036851964,0.019509780484023218,-0.056827704328087536,0.9546824700056877,M1,"1 	(0.96, 1.04)",0.998891918339526,0.9614162071647088,1.0378284213312399
factor(state)18,-0.0631315488355822,0.012113172045064782,-5.211809805120668,1.8708960200243842e-7,M1,"0.94 	(0.92, 0.96)",0.9388199648923893,0.9167931854305302,0.9613759575085035
